startTime,pm25
1369666800000.0,28.333
1369766100000.0,53.75
1369861200000.0,115.167
1369785600000.0,53.167
1369796400000.0,26
1369807200000.0,50.167
1369818000000.0,37.333
1369828800000.0,26.667
1369850340000.0,15.667
1370034000000.0,13.667
1369958400000.0,6.667
1369969200000.0,4.667
1369980000000.0,10
1369990800000.0,16.5
1370001600000.0,14.167
1370012400000.0,13.667
1370206800000.0,28.833
1370131200000.0,31
1370142000000.0,12.333
1370152800000.0,13.5
1370163600000.0,9.332999999999998
1370174400000.0,10
1370185200000.0,11.167
1370282400000.0,21.667
1370379600000.0,20.333
1370304000000.0,13.333
1370314800000.0,18.333
1370325600000.0,25
1370336400000.0,18.833
1370347200000.0,17
1370358000000.0,18.333
1370455200000.0,33.5
1370552400000.0,44.833
1370476800000.0,58
1370487600000.0,25.333
1370498400000.0,21.667
1370509200000.0,26.167
1370530800000.0,28.333
1370628000000.0,22.833
1370725200000.0,20
1370649600000.0,34.167
1370660400000.0,12.833
1370671200000.0,13.833
1370682000000.0,15.667
1370692800000.0,11.333
1370703600000.0,10.5
1370800800000.0,18.833
1370898000000.0,38.167
1370822400000.0,38.5
1370833200000.0,25.833
1370844000000.0,41
1370854800000.0,30.5
1370865600000.0,12.5
1370876400000.0,12.5
1370973600000.0,15.167
1371070800000.0,25
1370995200000.0,14.833
1371006000000.0,8.333
1371016800000.0,11.5
1371027600000.0,23.5
1371038400000.0,17
1371049200000.0,15.167
1371241440000.0,48
1371330000000.0,59.5
1371265200000.0,22
1371276000000.0,35.33300000000001
1371286800000.0,23.667
1371297600000.0,12.5
1371308400000.0,14
1371405600000.0,17
1371502800000.0,21.333
1371427200000.0,7.5
1371438000000.0,8
1371448800000.0,9.667
1371459600000.0,11.333
1371470400000.0,15.5
1371481200000.0,26.833
1371675600000.0,40.833
1371600000000.0,35.16699999999999
1371610800000.0,27.833
1371621600000.0,60.167
1371632400000.0,43
1371643200000.0,63.833
1371654000000.0,23.833
1371751200000.0,37.5
1371848400000.0,33.5
1371772800000.0,25.167
1371783600000.0,18.833
1371794400000.0,20.5
1371816000000.0,13.667
1371924000000.0,5.75
1372021200000.0,1
1371945600000.0,0
1371956400000.0,0.6669999999999999
1371967200000.0,1.333
1371978000000.0,8.167
1371988800000.0,1.167
1371999600000.0,0.833
1372096800000.0,0
1372194000000.0,1
1372118400000.0,0
1372129200000.0,0
1372140000000.0,0
1372150800000.0,0.333
1372161600000.0,0
1372172400000.0,0
1372269600000.0,2.833
1372366800000.0,8.5
1372291200000.0,3.333
1372302000000.0,1.5
1372312800000.0,3
1372323600000.0,1
1372334400000.0,0
1372345200000.0,0
1372442400000.0,1
1372539600000.0,0.5
1372464000000.0,0
1372474800000.0,0
1372485600000.0,0
1372496400000.0,1.667
1372507200000.0,1.5
1372518000000.0,2.5
1372615200000.0,3.5
1372712400000.0,7.333
1372636800000.0,5.667
1372647600000.0,2.833
1372658400000.0,5.832999999999999
1372669200000.0,3.167
1372680000000.0,1.5
1372690800000.0,0
1372788000000.0,5.167
1372885200000.0,8.667
1372809600000.0,7.167
1372820400000.0,4.333
1372831200000.0,3.167
1373058000000.0,3.5
1372982400000.0,1.833
1372993200000.0,1.667
1373004000000.0,2.2
1373017440000.0,2.25
1373025600000.0,2.5
1373036400000.0,2.333
1373133600000.0,3.5
1373155200000.0,0.6669999999999999
1373166000000.0,0.333
1373176800000.0,1
1373187600000.0,1.5
1373198400000.0,1.333
1373209200000.0,0.5
1373308740000.0,26
1373403600000.0,37.833
1373328000000.0,33.5
1373338800000.0,16.833
1373349600000.0,29
1373360400000.0,29.5
1373371200000.0,32.5
1373382000000.0,26.5
1373738400000.0,19.5
1373835600000.0,42
1373760000000.0,31.667
1373770800000.0,16.833
1373781600000.0,18
1373803200000.0,12.833
1373814000000.0,13.667
1374008400000.0,45.833
1373932800000.0,27.667
1373943600000.0,16.333
1373954400000.0,30
1373976000000.0,29.5
